built_year,apt_name,trade_price,contract_date,net_leasable_area,address,legal_code,floor,ward,price_per_area
2008,광화문스페이스본(101동~105동),168000,20240615,121.37,서울특별시 종로구 사직동,1111011500,2,종로구,1384.197083299003
2008,광화문스페이스본(101동~105동),174000,20240617,121.37,서울특별시 종로구 사직동,1111011500,11,종로구,1433.6326934168246
2008,광화문스페이스본(106동),193000,20240621,150.4,서울특별시 종로구 사직동,1111011500,4,종로구,1283.2446808510638
2008,광화문스페이스본(101동~105동),198000,20240626,151.81,서울특별시 종로구 사직동,1111011500,13,종로구,1304.2619063302814
2004,경희궁의아침3단지,216000,20240606,150.48,서울특별시 종로구 내수동,1111011800,5,종로구,1435.4066985645934
2004,경희궁의아침4단지,190000,20240628,124.17,서울특별시 종로구 내수동,1111011800,7,종로구,1530.1602641539823
2014,이화에수풀,18000,20240618,16.98,서울특별시 종로구 연건동,1111016600,6,종로구,1060.070671378092
1995,아남1,105000,20240607,84.9,서울특별시 종로구 명륜2가,1111017100,10,종로구,1236.7491166077737
1995,아남1,117000,20240624,84.9,서울특별시 종로구 명륜2가,1111017100,12,종로구,1378.0918727915193
1993,창신쌍용2,58500,20240601,64.66,서울특별시 종로구 창신동,1111017400,4,종로구,904.732446643984
2002,그린,23000,20240604,45.27,서울특별시 종로구 창신동,1111017400,3,종로구,508.0627347028937
1993,창신쌍용2,67500,20240608,79.87,서울특별시 종로구 창신동,1111017400,15,종로구,845.1233254037811
2002,MID그린(1동),44300,20240619,59.55,서울특별시 종로구 창신동,1111017400,5,종로구,743.9126784214945
1993,창신쌍용2,70000,20240621,79.87,서울특별시 종로구 창신동,1111017400,6,종로구,876.4241893076248
2003,창신이수,102500,20240624,120.84,서울특별시 종로구 창신동,1111017400,3,종로구,848.229063224098
1993,창신쌍용2,86000,20240629,106.62,서울특별시 종로구 창신동,1111017400,8,종로구,806.6028887638341
2008,종로센트레빌,85000,20240601,59.92,서울특별시 종로구 숭인동,1111017500,7,종로구,1418.5580774365822
2023,에비뉴청계Ⅰ,16900,20240611,16.01,서울특별시 종로구 숭인동,1111017500,12,종로구,1055.5902560899438
2013,종로중흥S클래스,13000,20240614,19.466,서울특별시 종로구 숭인동,1111017500,15,종로구,667.8310901058255
2009,종로청계힐스테이트,81000,20240620,59.9426,서울특별시 종로구 숭인동,1111017500,10,종로구,1351.2927367181271
2017,경희궁자이(3단지),159000,20240608,59.7547,서울특별시 종로구 평동,1111017700,2,종로구,2660.878558506695
2017,경희궁자이(3단지),194000,20240612,84.8359,서울특별시 종로구 평동,1111017700,19,종로구,2286.767748087779
2017,경희궁자이(3단지),194500,20240613,84.8359,서울특별시 종로구 평동,1111017700,3,종로구,2292.6614793972835
2017,경희궁자이(3단지),147000,20240618,59.8547,서울특별시 종로구 평동,1111017700,3,종로구,2455.947486162323
2017,경희궁자이(3단지),202000,20240622,84.8359,서울특별시 종로구 평동,1111017700,12,종로구,2381.0674490398524
2017,경희궁자이(3단지),200000,20240627,84.8359,서울특별시 종로구 평동,1111017700,13,종로구,2357.492523801834
2017,경희궁자이(2단지),222500,20240602,84.614,서울특별시 종로구 홍파동,1111017900,12,종로구,2629.5884841751954
2017,경희궁자이(2단지),165000,20240610,84.8359,서울특별시 종로구 홍파동,1111017900,12,종로구,1944.931332136513
2017,경희궁자이(2단지),168000,20240613,59.8547,서울특별시 종로구 홍파동,1111017900,7,종로구,2806.797127042655
2017,경희궁자이(2단지),209700,20240617,84.614,서울특별시 종로구 홍파동,1111017900,3,종로구,2478.3132814900605
2017,경희궁자이(2단지),200000,20240618,84.614,서울특별시 종로구 홍파동,1111017900,1,종로구,2363.675041955232
2017,경희궁자이(2단지),192000,20240626,77.9737,서울특별시 종로구 홍파동,1111017900,12,종로구,2462.368721761312
2017,경희궁자이(2단지),170000,20240629,59.8655,서울특별시 종로구 홍파동,1111017900,1,종로구,2839.698991906858
2017,경희궁자이(4단지),84500,20240612,37.2635,서울특별시 종로구 교북동,1111018000,13,종로구,2267.6345485528736
