built_year,officetel_name,security_deposit,monthly_rent,contract_date,lease_term,net_leasable_area,address,legal_code,floor,ward
1998,파크뷰타워,2000,65,20230107,23.01~24.01,25.65,서울특별시 종로구 필운동,1111011300,7,종로구
2004,경희궁의 아침 3단지,26000,0,20230103,,37.5,서울특별시 종로구 내수동,1111011800,4,종로구
2004,용비어천가,29000,0,20230105,23.01~25.01,37.56,서울특별시 종로구 내수동,1111011800,18,종로구
2004,광화문시대,1000,80,20230105,23.01~24.01,31.75,서울특별시 종로구 내수동,1111011800,12,종로구
2004,광화문시대,5000,70,20230105,23.01~24.01,31.75,서울특별시 종로구 내수동,1111011800,8,종로구
2004,경희궁의 아침 4단지,1000,85,20230105,23.01~24.01,28.24,서울특별시 종로구 내수동,1111011800,15,종로구
2004,용비어천가,1000,95,20230106,23.02~24.02,33,서울특별시 종로구 내수동,1111011800,16,종로구
2004,용비어천가,1000,105,20230106,23.01~24.01,42.83,서울특별시 종로구 내수동,1111011800,8,종로구
2004,광화문시대,38000,0,20230106,23.01~25.01,56.56,서울특별시 종로구 내수동,1111011800,17,종로구
2004,경희궁의 아침 4단지,22000,0,20230106,23.01~25.01,28.24,서울특별시 종로구 내수동,1111011800,16,종로구
2004,용비어천가,10000,60,20230110,23.01~24.01,37.56,서울특별시 종로구 내수동,1111011800,10,종로구
2004,광화문시대,15000,25,20230110,23.01~24.01,32.01,서울특별시 종로구 내수동,1111011800,14,종로구
2004,용비어천가,27000,0,20230110,23.02~25.02,37.56,서울특별시 종로구 내수동,1111011800,15,종로구
2004,용비어천가,3000,80,20231101,23.02~24.02,30.36,서울특별시 종로구 내수동,1111011800,12,종로구
2004,경희궁의 아침 3단지,25000,0,20231103,23.02~25.02,37.5,서울특별시 종로구 내수동,1111011800,2,종로구
2004,경희궁의 아침 2단지,23000,75,20231104,23.03~25.03,51.02,서울특별시 종로구 내수동,1111011800,9,종로구
2004,광화문시대,1000,75,20231106,23.01~24.01,31.37,서울특별시 종로구 내수동,1111011800,17,종로구
2004,광화문시대,23000,0,20231106,23.02~25.08,33.3,서울특별시 종로구 내수동,1111011800,12,종로구
2004,용비어천가,2000,155,20231107,23.02~24.02,58.92,서울특별시 종로구 내수동,1111011800,15,종로구
2004,용비어천가,1000,80,20231108,23.02~24.02,30.36,서울특별시 종로구 내수동,1111011800,5,종로구
2004,광화문시대,24500,0,20231108,23.02~24.02,35.71,서울특별시 종로구 내수동,1111011800,6,종로구
2004,용비어천가,27000,0,20231108,23.02~24.02,33,서울특별시 종로구 내수동,1111011800,16,종로구
2004,광화문시대,22000,0,20231109,23.02~25.02,32.01,서울특별시 종로구 내수동,1111011800,9,종로구
2004,용비어천가,20500,0,20231204,23.02~25.02,30.76,서울특별시 종로구 내수동,1111011800,2,종로구
2004,광화문시대,20000,20,20231205,23.02~25.02,33.3,서울특별시 종로구 내수동,1111011800,4,종로구
2004,용비어천가,1700,120,20230130,23.03~25.03,37.56,서울특별시 종로구 내수동,1111011800,14,종로구
2020,디팰리스,49700,0,20231207,23.02~25.02,40.15,서울특별시 종로구 신문로2가,1111012100,4,종로구
2020,디팰리스,120000,0,20231208,23.03~25.03,81.52,서울특별시 종로구 신문로2가,1111012100,5,종로구
2004,두산위브파빌리온,4500,82,20230104,23.01~24.01,35.22,서울특별시 종로구 수송동,1111012400,6,종로구
2004,두산위브파빌리온,17000,110,20231105,23.03~25.03,74.84,서울특별시 종로구 수송동,1111012400,9,종로구
2004,두산위브파빌리온,22000,0,20231205,23.02~25.02,35.22,서울특별시 종로구 수송동,1111012400,6,종로구
2004,두산위브파빌리온,1000,100,20230131,23.02~25.02,35.22,서울특별시 종로구 수송동,1111012400,12,종로구
2007,르메이에르종로타운1,2000,155,20230130,23.02~24.02,56.64,서울특별시 종로구 종로1가,1111012600,7,종로구
2004,BIZ-WELL 종로 오피스텔,500,58,20230104,23.01~24.01,17.42,서울특별시 종로구 익선동,1111013300,4,종로구
2004,BIZ-WELL 종로 오피스텔,1000,70,20231207,23.02~23.08,23.14,서울특별시 종로구 익선동,1111013300,9,종로구
2005,운현궁 에스케이 허브,10000,50,20231103,23.02~24.02,35.36,서울특별시 종로구 경운동,1111013400,11,종로구
2019,드래곤팰리스,1000,80,20230107,23.01~24.01,23.07,서울특별시 종로구 돈의동,1111015300,3,종로구
2020,종로 하이뷰 디아트,1000,85,20231103,23.01~24.01,18.16,서울특별시 종로구 관수동,1111015500,10,종로구
2022,신일 해피트리앤,6000,60,20230130,23.01~24.06,19.34,서울특별시 종로구 관수동,1111015500,4,종로구
2006,효성주얼리시티,2000,140,20231104,23.03~25.03,60.37,서울특별시 종로구 인의동,1111015700,4,종로구
2021,루비온오피스텔,20000,0,20231107,23.01~25.01,18.2,서울특별시 종로구 인의동,1111015700,4,종로구
2021,루비온오피스텔,2000,70,20230130,23.02~24.02,18.2,서울특별시 종로구 인의동,1111015700,4,종로구
2003,코윈 팔레스뷰 오피스텔,22000,20,20230105,23.02~25.02,32.8,서울특별시 종로구 원남동,1111015900,6,종로구
2022,휴스턴오피스텔 창경궁 C,1000,90,20230109,23.02~24.02,21.99,서울특별시 종로구 원남동,1111015900,2,종로구
2003,코윈 팔레스뷰 오피스텔,3000,50,20231103,23.02~24.02,21.01,서울특별시 종로구 원남동,1111015900,2,종로구
2022,휴스턴오피스텔 창경궁 C,23000,0,20231104,23.01~25.01,21.99,서울특별시 종로구 원남동,1111015900,3,종로구
2022,휴스턴오피스텔 창경궁 C,1000,90,20231104,23.01~24.01,21.99,서울특별시 종로구 원남동,1111015900,2,종로구
2003,코윈 팔레스뷰 오피스텔,1000,75,20231108,23.01~25.01,24.03,서울특별시 종로구 원남동,1111015900,2,종로구
2003,코윈 팔레스뷰 오피스텔,1000,70,20231109,23.02~24.02,24.03,서울특별시 종로구 원남동,1111015900,9,종로구
2022,휴스턴오피스텔 창경궁 C,5000,140,20231208,23.02~25.02,36.62,서울특별시 종로구 원남동,1111015900,2,종로구
2003,코윈 팔레스뷰 오피스텔,2000,90,20231208,23.03~24.02,32.8,서울특별시 종로구 원남동,1111015900,9,종로구
2022,더넥스트 종로,24000,0,20230104,23.01~25.01,18.66,서울특별시 종로구 연지동,1111016000,10,종로구
2015,아르젠종로,11000,15,20230106,23.02~25.02,15.76,서울특별시 종로구 연지동,1111016000,6,종로구
2015,아르젠종로,11000,15,20230106,23.02~25.02,15.76,서울특별시 종로구 연지동,1111016000,6,종로구
2019,로얄파크뷰,28600,0,20230109,23.01~25.01,37.31,서울특별시 종로구 연지동,1111016000,7,종로구
2019,리베르떼_연지,22050,0,20230110,,27.5,서울특별시 종로구 연지동,1111016000,3,종로구
2019,리베르떼_연지,19400,0,20230130,23.01~25.01,23.2,서울특별시 종로구 연지동,1111016000,8,종로구
2003,반도 보라 아이비 타워,12678,0,20230105,23.01~25.01,22.72,서울특별시 종로구 효제동,1111016200,8,종로구
2003,반도 보라 아이비 타워,1000,73,20230105,23.01~25.01,30.7,서울특별시 종로구 효제동,1111016200,6,종로구
2020,센트럴시티대학로,19000,0,20230106,23.01~25.01,17.28,서울특별시 종로구 효제동,1111016200,10,종로구
2019,BS타워,1000,69,20230109,23.01~24.01,19.83,서울특별시 종로구 효제동,1111016200,5,종로구
2020,센트럴시티대학로,3500,50,20231101,23.01~24.01,17.28,서울특별시 종로구 효제동,1111016200,8,종로구
2003,반도 보라 아이비 타워,1000,70,20231102,23.02~25.02,27.58,서울특별시 종로구 효제동,1111016200,9,종로구
2020,센트럴시티대학로,21000,0,20231106,23.01~25.01,17.28,서울특별시 종로구 효제동,1111016200,10,종로구
2021,이지마루종로,2000,110,20231106,,24.73,서울특별시 종로구 효제동,1111016200,5,종로구
2019,BS타워,1000,95,20231109,23.03~24.02,26.07,서울특별시 종로구 효제동,1111016200,8,종로구
2019,BS타워,1000,77,20230120,23.01~24.01,19.83,서울특별시 종로구 효제동,1111016200,4,종로구
2003,반도 보라 아이비 타워,1000,71,20231205,23.02~24.02,32.27,서울특별시 종로구 효제동,1111016200,3,종로구
2003,반도 보라 아이비 타워,1000,70,20231208,23.02~25.02,30.7,서울특별시 종로구 효제동,1111016200,2,종로구
2003,반도 보라 아이비 타워,1000,70,20231208,23.02~25.02,30.7,서울특별시 종로구 효제동,1111016200,2,종로구
2022,종로5가역 하이뷰더광장,1000,90,20230105,23.02~24.02,18.97,서울특별시 종로구 종로5가,1111016300,8,종로구
2022,종로5가역 하이뷰더광장,6000,75,20230105,23.01~25.01,18.97,서울특별시 종로구 종로5가,1111016300,13,종로구
2022,종로5가역 하이뷰더광장,1000,100,20230107,23.01~24.01,18.97,서울특별시 종로구 종로5가,1111016300,5,종로구
2022,종로5가역 하이뷰더광장,20000,0,20230110,23.02~25.02,18.97,서울특별시 종로구 종로5가,1111016300,9,종로구
2022,종로5가역 하이뷰더광장,19500,0,20231101,23.01~25.01,18.97,서울특별시 종로구 종로5가,1111016300,15,종로구
2022,종로5가역 하이뷰더광장,10000,55,20231101,23.01~25.01,18.97,서울특별시 종로구 종로5가,1111016300,14,종로구
2022,종로5가역 하이뷰더광장,1000,100,20231103,23.02~24.02,18.97,서울특별시 종로구 종로5가,1111016300,15,종로구
2022,종로5가역 하이뷰더광장,1000,95,20230120,23.01~24.01,18.97,서울특별시 종로구 종로5가,1111016300,11,종로구
2022,종로5가역 하이뷰더광장,20000,0,20231204,23.02~25.02,18.97,서울특별시 종로구 종로5가,1111016300,8,종로구
2022,종로5가역 하이뷰더광장,5000,70,20231207,23.02~24.02,18.97,서울특별시 종로구 종로5가,1111016300,9,종로구
2022,종로5가역 하이뷰더광장,20000,0,20231207,,18.97,서울특별시 종로구 종로5가,1111016300,15,종로구
2022,종로5가역 하이뷰더광장,20000,0,20231208,23.02~25.02,18.97,서울특별시 종로구 종로5가,1111016300,15,종로구
2022,종로5가역 하이뷰더광장,10000,50,20231208,23.02~24.02,18.97,서울특별시 종로구 종로5가,1111016300,9,종로구
2001,대보마로니에텔,2000,50,20230110,23.01~25.12,26.52,서울특별시 종로구 연건동,1111016600,9,종로구
2001,대보마로니에텔,2000,55,20230120,23.02~25.02,26.52,서울특별시 종로구 연건동,1111016600,2,종로구
2020,종로 웰라이프,21000,0,20230109,23.03~25.03,27.04,서울특별시 종로구 창신동,1111017400,2,종로구
2021,(255-1),21000,0,20231205,23.03~25.03,17.8,서울특별시 종로구 창신동,1111017400,9,종로구
2020,종로 웰라이프,20000,0,20231207,,27.04,서울특별시 종로구 창신동,1111017400,4,종로구
2005,동양파라빌,12500,0,20230102,,24.93,서울특별시 종로구 숭인동,1111017500,13,종로구
2014,디세븐,500,50,20230103,23.01~24.01,15.04,서울특별시 종로구 숭인동,1111017500,6,종로구
2012,삼전솔하임2차,1000,50,20230103,23.02~24.02,18.87,서울특별시 종로구 숭인동,1111017500,3,종로구
2016,아이비씨 호텔 앤 오피스텔,1000,63,20230103,23.01~24.01,21.36,서울특별시 종로구 숭인동,1111017500,10,종로구
2005,동양파라빌,500,65,20230103,23.02~24.02,27.09,서울특별시 종로구 숭인동,1111017500,9,종로구
2002,수석컴비즈텔,1000,45,20230104,23.02~25.02,26.46,서울특별시 종로구 숭인동,1111017500,7,종로구
2005,경일오피스텔,2000,64,20230104,23.02~24.02,31.09,서울특별시 종로구 숭인동,1111017500,4,종로구
2005,동양파라빌,1000,60,20230105,23.02~24.02,27.09,서울특별시 종로구 숭인동,1111017500,11,종로구
2005,경일오피스텔,1000,48,20230105,23.02~24.02,20.14,서울특별시 종로구 숭인동,1111017500,6,종로구
2004,종로대우디오빌,1000,70,20230105,,29.65,서울특별시 종로구 숭인동,1111017500,15,종로구
2005,동양파라빌,1000,60,20230105,23.01~24.01,24.93,서울특별시 종로구 숭인동,1111017500,11,종로구
2005,경일오피스텔,1000,50,20230105,23.02~24.02,22.55,서울특별시 종로구 숭인동,1111017500,9,종로구
2005,동양파라빌,1000,65,20230105,23.02~24.02,27.09,서울특별시 종로구 숭인동,1111017500,12,종로구
2005,경일오피스텔,2000,45,20230105,23.02~24.02,22.42,서울특별시 종로구 숭인동,1111017500,4,종로구
2016,아이비씨 호텔 앤 오피스텔,1000,63,20230106,23.02~24.02,21.45,서울특별시 종로구 숭인동,1111017500,13,종로구
2012,삼전솔하임2차,3000,45,20230106,23.01~24.01,19.18,서울특별시 종로구 숭인동,1111017500,3,종로구
