built_year,officetel_name,trade_price,contract_date,net_leasable_area,address,legal_code,floor,ward,price_per_area
2004,경희궁의 아침 4단지,35500,20231101,40.03,서울특별시 종로구 내수동,1111011800,16,종로구,886.8348738446165
2004,경희궁의 아침 3단지,30000,20231107,37.5,서울특별시 종로구 내수동,1111011800,9,종로구,800.0
2004,광화문시대,29600,20231206,34.9,서울특별시 종로구 내수동,1111011800,14,종로구,848.137535816619
2004,두산위브파빌리온,30500,20231106,37.42,서울특별시 종로구 수송동,1111012400,9,종로구,815.0721539283805
2004,두산위브파빌리온,52500,20231107,74.84,서울특별시 종로구 수송동,1111012400,10,종로구,701.4965259219668
2007,르메이에르종로타운1,68000,20231102,81.01,서울특별시 종로구 종로1가,1111012600,15,종로구,839.4025428959387
2007,르메이에르종로타운1,89500,20231109,96.92,서울특별시 종로구 종로1가,1111012600,20,종로구,923.4420140321915
2005,운현궁 에스케이 허브,27500,20230107,35.36,서울특별시 종로구 경운동,1111013400,5,종로구,777.7149321266968
2005,운현궁 에스케이 허브,34000,20230109,42.69,서울특별시 종로구 경운동,1111013400,10,종로구,796.439447177325
2005,운현궁 에스케이 허브,31500,20230110,41.12,서울특별시 종로구 경운동,1111013400,7,종로구,766.0505836575876
2020,종로 하이뷰 디아트,23000,20231108,18.16,서울특별시 종로구 관수동,1111015500,11,종로구,1266.5198237885463
2003,코윈 팔레스뷰 오피스텔,15700,20230102,24.03,서울특별시 종로구 원남동,1111015900,3,종로구,653.3499791926758
2022,종로5가역 하이뷰더광장,28840,20230106,18.97,서울특별시 종로구 종로5가,1111016300,3,종로구,1520.2952029520295
2001,대보마로니에텔,14800,20231109,26.52,서울특별시 종로구 연건동,1111016600,3,종로구,558.0693815987934
2013,버넷하임1,12000,20230109,24.65,서울특별시 종로구 숭인동,1111017500,6,종로구,486.81541582150106
2004,종로대우디오빌,15500,20230109,28.89,서울특별시 종로구 숭인동,1111017500,13,종로구,536.5178262374524
2005,동양파라빌,13000,20231206,24.93,서울특별시 종로구 숭인동,1111017500,7,종로구,521.4600882470919
2005,동양파라빌,12900,20231206,24.93,서울특별시 종로구 숭인동,1111017500,11,종로구,517.4488567990373
2016,아폴리움 오피스텔,17000,20230130,15.2,서울특별시 종로구 숭인동,1111017500,8,종로구,1118.421052631579
2005,동양파라빌,14200,20230131,27.09,서울특별시 종로구 숭인동,1111017500,8,종로구,524.1786637135474
2007,명동 엠퍼스트플레이스,26130,20231109,20.84,서울특별시 중구 충무로2가,1114012500,10,중구,1253.8387715930903
2005,대성을지로오피스텔,15000,20230110,25.49,서울특별시 중구 을지로5가,1114015100,4,중구,588.4660651235779
2005,대성을지로오피스텔,14700,20231108,25.49,서울특별시 중구 을지로5가,1114015100,8,중구,576.6967438211063
2013,엘크루 메트로시티,25000,20231101,29.78,서울특별시 중구 충무로3가,1114015800,19,중구,839.4895903290799
2018,제이매크로 타워,20300,20230106,19.35,서울특별시 중구 저동2가,1114016100,9,중구,1049.095607235142
2021,한양립스 이노와이즈,37800,20230109,36.071,서울특별시 중구 황학동,1114016500,6,중구,1047.9332427712013
2014,황학동 복합시설(DUO302),15000,20230109,23.06,서울특별시 중구 황학동,1114016500,15,중구,650.4770164787511
존재하지 않음,주건축물제1동,26700,20231102,41.41,서울특별시 중구 황학동,1114016500,4,중구,644.771794252596
2004,올리브1,13000,20231104,25.05,서울특별시 중구 황학동,1114016500,8,중구,518.9620758483034
2004,신당역올리브2,12400,20231106,23.82,서울특별시 중구 황학동,1114016500,6,중구,520.5709487825357
2014,아미인,12000,20230120,18.62,서울특별시 중구 황학동,1114016500,3,중구,644.4683136412459
2013,한양 I-Class,13000,20230130,19.05,서울특별시 중구 황학동,1114016500,10,중구,682.4146981627297
2013,한양 I-Class,12500,20230131,19.05,서울특별시 중구 황학동,1114016500,3,중구,656.1679790026246
2005,바비엥-2,28000,20231102,44.94,서울특별시 중구 의주로1가,1114016900,6,중구,623.0529595015577
2005,바비엥-2,26000,20230120,41.55,서울특별시 중구 의주로1가,1114016900,11,중구,625.7521058965102
2005,바비엥-2,26000,20231204,41.55,서울특별시 중구 의주로1가,1114016900,11,중구,625.7521058965102
2006,브라운스톤서울,67772,20231102,68.044,서울특별시 중구 중림동,1114017100,12,중구,996.0025865616366
1990,(339-4),19000,20231108,34.38,서울특별시 용산구 후암동,1117010100,5,용산구,552.6468877254217
2022,씨모어,39964,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,9,용산구,1625.8746948738813
2022,씨모어,39398,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,7,용산구,1602.8478437754272
2022,씨모어,39398,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,7,용산구,1602.8478437754272
2022,씨모어,39140,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,7,용산구,1592.3515052888529
2022,씨모어,39140,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,7,용산구,1592.3515052888529
2022,씨모어,39140,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,7,용산구,1592.3515052888529
2022,씨모어,39604,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,8,용산구,1611.2286411716843
2022,씨모어,39604,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,8,용산구,1611.2286411716843
2022,씨모어,39398,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,8,용산구,1602.8478437754272
2022,씨모어,39398,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,8,용산구,1602.8478437754272
2022,씨모어,39398,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,8,용산구,1602.8478437754272
2022,씨모어,39398,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,8,용산구,1602.8478437754272
2022,씨모어,39398,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,8,용산구,1602.8478437754272
2022,씨모어,39140,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,8,용산구,1592.3515052888529
2022,씨모어,39140,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,8,용산구,1592.3515052888529
2022,씨모어,39140,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,8,용산구,1592.3515052888529
2022,씨모어,39964,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,9,용산구,1625.8746948738813
2022,씨모어,39398,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,7,용산구,1602.8478437754272
2022,씨모어,39758,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,9,용산구,1617.4938974776242
2022,씨모어,39758,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,9,용산구,1617.4938974776242
2022,씨모어,39758,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,9,용산구,1617.4938974776242
2022,씨모어,39758,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,9,용산구,1617.4938974776242
2022,씨모어,39758,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,9,용산구,1617.4938974776242
2022,씨모어,39604,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,9,용산구,1611.2286411716843
